P (bars),Gas_wt,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,,,
10630.32,4.49E-11,0.0102593,6.04E-06,2.21E-12,0.966535,0.0224629,3.62E-09,0.000631163,6.32E-05,4.26E-05,0,,,
10629.82,7.81E-09,0.0102598,6.04E-06,2.21E-12,0.966544,0.0224524,3.61E-09,0.000631659,6.31E-05,4.26E-05,0,,,
10629.32,7.18E-09,0.0102608,6.04E-06,2.21E-12,0.966543,0.0224525,3.61E-09,0.000631682,6.32E-05,4.26E-05,0,,,
10628.82,7.18E-09,0.0102618,6.04E-06,2.21E-12,0.966542,0.0224527,3.61E-09,0.000631705,6.32E-05,4.26E-05,0,,,
10628.32,7.18E-09,0.0102627,6.04E-06,2.21E-12,0.966541,0.0224528,3.61E-09,0.000631728,6.32E-05,4.26E-05,0,,,
10627.82,7.18E-09,0.0102637,6.04E-06,2.21E-12,0.96654,0.022453,3.61E-09,0.000631751,6.32E-05,4.26E-05,0,,,
10627.32,7.18E-09,0.0102647,6.04E-06,2.21E-12,0.966539,0.0224531,3.61E-09,0.000631774,6.32E-05,4.26E-05,0,,,
10626.82,7.18E-09,0.0102656,6.04E-06,2.21E-12,0.966537,0.0224533,3.61E-09,0.000631797,6.32E-05,4.26E-05,0,,,
10626.32,7.18E-09,0.0102666,6.04E-06,2.21E-12,0.966536,0.0224534,3.61E-09,0.00063182,6.32E-05,4.26E-05,0,,,
10625.82,7.18E-09,0.0102676,6.04E-06,2.21E-12,0.966535,0.0224536,3.62E-09,0.000631843,6.32E-05,4.26E-05,0,,,
10625.32,7.18E-09,0.0102685,6.05E-06,2.21E-12,0.966534,0.0224537,3.62E-09,0.000631866,6.32E-05,4.26E-05,0,,,
10624.82,7.18E-09,0.0102695,6.05E-06,2.21E-12,0.966533,0.0224539,3.62E-09,0.000631888,6.32E-05,4.26E-05,0,,,
10624.32,7.18E-09,0.0102705,6.05E-06,2.21E-12,0.966532,0.0224541,3.62E-09,0.000631911,6.32E-05,4.26E-05,0,,,
10623.82,7.18E-09,0.0102715,6.05E-06,2.21E-12,0.966531,0.0224542,3.62E-09,0.000631934,6.33E-05,4.26E-05,0,,,
10623.32,7.18E-09,0.0102724,6.05E-06,2.21E-12,0.966529,0.0224544,3.62E-09,0.000631957,6.33E-05,4.26E-05,0,,,
10622.82,7.18E-09,0.0102734,6.05E-06,2.21E-12,0.966528,0.0224545,3.62E-09,0.00063198,6.33E-05,4.26E-05,0,,,
10622.32,7.18E-09,0.0102744,6.05E-06,2.21E-12,0.966527,0.0224547,3.62E-09,0.000632003,6.33E-05,4.26E-05,0,,,
10621.82,7.18E-09,0.0102753,6.05E-06,2.22E-12,0.966526,0.0224548,3.62E-09,0.000632026,6.33E-05,4.26E-05,0,,,
10621.32,7.18E-09,0.0102763,6.05E-06,2.22E-12,0.966525,0.022455,3.62E-09,0.000632049,6.33E-05,4.26E-05,0,,,
10620.82,7.18E-09,0.0102773,6.05E-06,2.22E-12,0.966524,0.0224551,3.62E-09,0.000632072,6.33E-05,4.26E-05,0,,,
10620.32,7.18E-09,0.0102782,6.05E-06,2.22E-12,0.966522,0.0224553,3.62E-09,0.000632095,6.33E-05,4.26E-05,0,,,
10619.82,7.18E-09,0.0102792,6.05E-06,2.22E-12,0.966521,0.0224554,3.62E-09,0.000632118,6.33E-05,4.26E-05,0,,,
10619.32,7.18E-09,0.0102802,6.05E-06,2.22E-12,0.96652,0.0224556,3.62E-09,0.000632141,6.33E-05,4.26E-05,0,,,
10618.82,7.18E-09,0.0102811,6.06E-06,2.22E-12,0.966519,0.0224557,3.62E-09,0.000632164,6.33E-05,4.26E-05,0,,,
10618.32,7.18E-09,0.0102821,6.06E-06,2.22E-12,0.966518,0.0224559,3.62E-09,0.000632187,6.34E-05,4.26E-05,0,,,
10617.82,7.18E-09,0.0102831,6.06E-06,2.22E-12,0.966517,0.0224561,3.62E-09,0.00063221,6.34E-05,4.26E-05,0,,,
10617.32,7.18E-09,0.0102841,6.06E-06,2.22E-12,0.966516,0.0224562,3.62E-09,0.000632233,6.34E-05,4.26E-05,0,,,
10616.82,7.18E-09,0.010285,6.06E-06,2.22E-12,0.966514,0.0224564,3.62E-09,0.000632255,6.34E-05,4.26E-05,0,,,
10616.32,7.18E-09,0.010286,6.06E-06,2.22E-12,0.966513,0.0224565,3.62E-09,0.000632278,6.34E-05,4.26E-05,0,,,
10615.82,7.18E-09,0.010287,6.06E-06,2.22E-12,0.966512,0.0224567,3.63E-09,0.000632301,6.34E-05,4.26E-05,0,,,
10615.32,7.18E-09,0.0102879,6.06E-06,2.22E-12,0.966511,0.0224568,3.63E-09,0.000632324,6.34E-05,4.26E-05,0,,,
10614.82,7.18E-09,0.0102889,6.06E-06,2.22E-12,0.96651,0.022457,3.63E-09,0.000632347,6.34E-05,4.26E-05,0,,,
10614.32,7.18E-09,0.0102899,6.06E-06,2.22E-12,0.966509,0.0224571,3.63E-09,0.00063237,6.34E-05,4.26E-05,0,,,
10613.82,7.18E-09,0.0102909,6.06E-06,2.22E-12,0.966507,0.0224573,3.63E-09,0.000632393,6.34E-05,4.26E-05,0,,,
10613.32,7.18E-09,0.0102918,6.06E-06,2.22E-12,0.966506,0.0224574,3.63E-09,0.000632416,6.34E-05,4.26E-05,0,,,
10612.82,7.18E-09,0.0102928,6.07E-06,2.22E-12,0.966505,0.0224576,3.63E-09,0.000632439,6.35E-05,4.26E-05,0,,,
10612.32,7.18E-09,0.0102938,6.07E-06,2.22E-12,0.966504,0.0224578,3.63E-09,0.000632462,6.35E-05,4.26E-05,0,,,
10611.82,7.18E-09,0.0102947,6.07E-06,2.22E-12,0.966503,0.0224579,3.63E-09,0.000632485,6.35E-05,4.26E-05,0,,,
10611.32,7.18E-09,0.0102957,6.07E-06,2.22E-12,0.966502,0.0224581,3.63E-09,0.000632508,6.35E-05,4.26E-05,0,,,
10610.82,7.18E-09,0.0102967,6.07E-06,2.22E-12,0.9665,0.0224582,3.63E-09,0.000632531,6.35E-05,4.26E-05,0,,,
10610.32,7.18E-09,0.0102977,6.07E-06,2.22E-12,0.966499,0.0224584,3.63E-09,0.000632554,6.35E-05,4.26E-05,0,,,
10609.82,7.18E-09,0.0102986,6.07E-06,2.22E-12,0.966498,0.0224585,3.63E-09,0.000632577,6.35E-05,4.26E-05,0,,,
10609.32,7.18E-09,0.0102996,6.07E-06,2.22E-12,0.966497,0.0224587,3.63E-09,0.0006326,6.35E-05,4.26E-05,0,,,
10608.82,7.18E-09,0.0103006,6.07E-06,2.22E-12,0.966496,0.0224588,3.63E-09,0.000632623,6.35E-05,4.26E-05,0,,,
10608.32,7.18E-09,0.0103015,6.07E-06,2.22E-12,0.966495,0.022459,3.63E-09,0.000632646,6.35E-05,4.26E-05,0,,,
10607.82,7.18E-09,0.0103025,6.07E-06,2.22E-12,0.966493,0.0224591,3.63E-09,0.000632669,6.35E-05,4.26E-05,0,,,
10607.32,7.18E-09,0.0103035,6.07E-06,2.22E-12,0.966492,0.0224593,3.63E-09,0.000632692,6.36E-05,4.26E-05,0,,,
10606.82,7.18E-09,0.0103045,6.08E-06,2.22E-12,0.966491,0.0224594,3.63E-09,0.000632715,6.36E-05,4.26E-05,0,,,
10606.32,7.18E-09,0.0103054,6.08E-06,2.22E-12,0.96649,0.0224596,3.63E-09,0.000632738,6.36E-05,4.26E-05,0,,,
10605.82,7.18E-09,0.0103064,6.08E-06,2.22E-12,0.966489,0.0224598,3.64E-09,0.000632761,6.36E-05,4.26E-05,0,,,
10605.32,7.18E-09,0.0103074,6.08E-06,2.22E-12,0.966488,0.0224599,3.64E-09,0.000632784,6.36E-05,4.26E-05,0,,,
10604.82,7.18E-09,0.0103084,6.08E-06,2.22E-12,0.966487,0.0224601,3.64E-09,0.000632807,6.36E-05,4.26E-05,0,,,
10604.32,7.18E-09,0.0103093,6.08E-06,2.22E-12,0.966485,0.0224602,3.64E-09,0.00063283,6.36E-05,4.26E-05,0,,,
10603.82,7.18E-09,0.0103103,6.08E-06,2.22E-12,0.966484,0.0224604,3.64E-09,0.000632853,6.36E-05,4.26E-05,0,,,
10603.32,7.18E-09,0.0103113,6.08E-06,2.22E-12,0.966483,0.0224605,3.64E-09,0.000632876,6.36E-05,4.26E-05,0,,,
10602.82,7.18E-09,0.0103122,6.08E-06,2.22E-12,0.966482,0.0224607,3.64E-09,0.000632899,6.36E-05,4.26E-05,0,,,
10602.32,7.18E-09,0.0103132,6.08E-06,2.22E-12,0.966481,0.0224608,3.64E-09,0.000632922,6.36E-05,4.26E-05,0,,,
10601.82,7.18E-09,0.0103142,6.08E-06,2.22E-12,0.96648,0.022461,3.64E-09,0.000632945,6.37E-05,4.26E-05,0,,,
